id,Smoker Prediction,Smoker Probability
159399,1,0.7789039
159400,1,0.62156343
159401,1,0.69582933
159402,0,0.008939502
159403,0,0.031009588
159404,1,0.8474648
159405,0,0.0025765332
159406,0,0.08578188
159407,0,0.012238659
159408,0,0.0038968227
159409,1,0.7892075
159410,1,0.63232696
159411,1,0.97767603
159412,1,0.8045416
159413,1,0.7259105
159414,0,0.1012312
159415,0,0.4024399
159416,0,0.47980997
159417,0,0.47662154
159418,1,0.6426542
159419,0,0.011759531
159420,1,0.76149756
159421,1,0.5320354
159422,0,0.08059279
159423,0,0.0017823678
159424,0,0.008269576
159425,1,0.52203715
159426,0,0.04644964
159427,0,0.015292002
159428,0,0.00041611213
159429,0,0.07992074
159430,0,0.005091155
159431,1,0.8255684
159432,0,0.008118817
159433,0,0.18293113
159434,0,0.22561997
159435,0,0.35401022
159436,1,0.7093519
159437,0,0.050537277
159438,1,0.60459125
159439,0,0.20942152
159440,0,0.095649146
159441,1,0.8824483
159442,0,0.13206433
159443,0,0.009389464
159444,0,0.022251261
159445,1,0.6259465
159446,1,0.67999315
159447,0,0.4813069
159448,1,0.82277995
159449,0,0.41650283
159450,0,0.00011869444
159451,1,0.8594203
159452,1,0.63382006
159453,0,0.20094183
159454,1,0.7207706
159455,1,0.7407008
159456,0,0.0005200556
159457,1,0.6009534
159458,1,0.588942
159459,0,0.43422827
159460,0,0.09727043
159461,1,0.6312206
159462,0,0.042792525
159463,0,0.004113307
159464,0,0.27625972
159465,0,0.42677903
159466,0,0.023976266
159467,1,0.7767477
159468,1,0.86386716
159469,1,0.54799956
159470,1,0.792359
159471,1,0.70739096
159472,1,0.82142925
159473,0,0.016950378
159474,0,0.39394954
159475,0,0.40048668
159476,0,0.02353609
159477,0,0.048060928
159478,1,0.8329791
159479,0,0.05428329
159480,0,0.38183612
159481,0,0.14763764
159482,1,0.827255
159483,0,0.010485251
159484,0,0.016367052
159485,0,0.28361467
159486,0,0.06437672
159487,0,0.022328233
159488,1,0.71328104
159489,0,0.07163777
159490,1,0.5435535
159491,1,0.8863152
159492,0,0.31638327
159493,1,0.78826493
159494,0,0.002757717
159495,0,0.00067821925
159496,1,0.7429147
159497,0,0.30552197
159498,0,0.49621743
159499,1,0.6070442
159500,0,0.060290974
159501,1,0.6048387
159502,1,0.9280595
159503,0,0.0044581043
159504,1,0.623943
159505,0,0.0042236866
159506,1,0.8593581
159507,1,0.776361
159508,1,0.81678
159509,1,0.826781
159510,0,0.0037209895
159511,0,0.000104208964
159512,0,0.026856143
159513,0,0.34907326
159514,0,0.04509037
159515,1,0.62574273
159516,1,0.5837143
159517,0,0.009548592
159518,0,0.0018300802
159519,0,0.10536474
159520,0,0.04693381
159521,1,0.9522719
159522,1,0.6694486
159523,0,0.000700401
159524,1,0.6225466
159525,0,0.0014119692
159526,0,0.3192266
159527,0,0.0040198104
159528,0,0.406495
159529,1,0.8085774
159530,1,0.6986247
159531,0,0.13439572
159532,1,0.86704797
159533,1,0.8326713
159534,0,0.48064482
159535,1,0.56254476
159536,0,0.0014651442
159537,0,0.40291235
159538,1,0.73086065
159539,1,0.8694957
159540,0,0.00015501755
159541,0,0.23677416
159542,0,0.42603478
159543,0,0.0047380757
159544,1,0.5600884
159545,1,0.83725774
159546,1,0.56882596
159547,0,0.4694431
159548,1,0.6211937
159549,0,0.008480956
159550,0,0.003852603
159551,1,0.6632638
159552,1,0.63593984
159553,0,0.38465044
159554,0,0.03984018
159555,1,0.83053094
159556,1,0.80821866
159557,1,0.8242371
159558,0,0.07531165
159559,1,0.617204
159560,0,0.014960599
159561,1,0.8220557
159562,1,0.9445269
159563,0,0.3306674
159564,0,0.0011545683
159565,0,0.037096504
159566,0,0.24407469
159567,1,0.8379796
159568,1,0.6318793
159569,0,0.02016158
159570,1,0.65172815
159571,0,0.07471428
159572,1,0.50608915
159573,0,0.013477871
159574,1,0.81436956
159575,0,0.030841101
159576,0,0.078845814
159577,1,0.749191
159578,0,0.42032236
159579,0,0.007552665
159580,1,0.6499261
159581,0,0.07063838
159582,1,0.5046716
159583,1,0.7375069
159584,0,0.49012288
159585,0,0.41452813
159586,0,0.3486323
159587,1,0.90360034
159588,1,0.8708459
159589,1,0.78940034
159590,1,0.846961
159591,1,0.72048604
159592,0,0.0074990415
159593,1,0.74169576
159594,0,0.019933619
159595,1,0.786813
159596,1,0.72654
159597,0,0.25457278
159598,0,0.010285893
159599,0,0.0034334965
159600,0,0.0010671761
159601,1,0.5381371
159602,0,0.05147635
159603,1,0.68068033
159604,0,0.40625942
159605,0,0.49672857
159606,0,0.0011062878
159607,0,0.006742837
159608,1,0.8293029
159609,1,0.53759885
159610,0,0.00048225457
159611,0,0.006209247
159612,1,0.58574134
159613,1,0.7886858
159614,0,0.0037901758
159615,0,0.012953585
159616,0,0.13042597
159617,0,0.050012268
159618,1,0.7218428
159619,0,0.011090481
159620,1,0.58750314
159621,1,0.7865419
159622,1,0.83175915
159623,1,0.5803413
159624,0,0.0133329565
159625,0,0.0076619475
159626,0,0.0142997205
159627,1,0.6177563
159628,0,0.33010748
159629,1,0.78492486
159630,0,0.11665385
159631,0,0.18124284
159632,0,0.0438731
159633,0,0.013277848
159634,1,0.8228261
159635,0,0.0014391299
159636,0,0.016339142
159637,0,0.16352928
159638,1,0.69116175
159639,0,0.11735365
159640,0,0.066197604
159641,0,0.06303836
159642,0,0.04061136
159643,0,0.28816974
159644,0,0.42217213
159645,0,0.48020965
159646,0,0.001352894
159647,1,0.61845416
159648,1,0.571636
159649,0,0.4444704
159650,1,0.8724063
159651,1,0.84567785
159652,0,0.45996714
159653,0,0.10889453
159654,0,0.022575013
159655,1,0.57032126
159656,0,0.039750896
159657,1,0.5981992
159658,0,0.00248966
159659,0,0.00039754328
159660,0,0.46093944
159661,1,0.53716815
159662,1,0.5126468
159663,1,0.7611838
159664,0,0.002255287
159665,1,0.53408366
159666,1,0.5935856
159667,0,0.1869546
159668,1,0.7934477
159669,1,0.5522843
159670,0,0.01595925
159671,1,0.73872286
159672,0,0.39094675
159673,1,0.69428426
159674,0,0.38303688
159675,1,0.7500707
159676,0,0.0003390279
159677,0,0.45902377
159678,1,0.53281236
159679,0,0.022011396
159680,1,0.84385896
159681,0,0.2780087
159682,1,0.62054515
159683,1,0.6926053
159684,0,0.43096012
159685,1,0.63315135
159686,0,0.028788662
159687,0,0.00048547066
159688,1,0.93410593
159689,0,0.10663802
159690,1,0.7112652
159691,1,0.57495326
159692,1,0.874693
159693,0,0.38747177
159694,1,0.5475633
159695,0,0.0003856858
159696,0,0.0024183164
159697,0,0.015746396
159698,0,0.20657781
159699,1,0.64091516
159700,1,0.50164866
159701,1,0.7394762
159702,1,0.69099057
159703,0,0.014010297
159704,1,0.6550154
159705,0,0.011408672
159706,0,0.16973118
159707,1,0.7285445
159708,1,0.7761245
159709,1,0.8961788
159710,1,0.8890806
159711,1,0.77289057
159712,1,0.6655746
159713,1,0.52043015
159714,1,0.56839144
159715,0,0.3992413
159716,1,0.588745
159717,0,0.002663322
159718,0,0.40614656
159719,0,0.029701745
159720,1,0.705891
159721,1,0.7566042
159722,0,0.4050103
159723,0,0.010664719
159724,0,0.01109914
159725,1,0.8078264
159726,0,0.008424959
159727,0,0.0007912404
159728,0,0.008969016
159729,1,0.8353577
159730,0,0.17648438
159731,1,0.78194135
159732,0,0.0036231002
159733,1,0.52146167
159734,0,0.4178549
159735,0,0.0049199094
159736,1,0.5607439
159737,1,0.7214211
159738,0,0.0036496436
159739,0,0.00055198104
159740,1,0.6151226
159741,0,0.3770905
159742,0,0.33336306
159743,1,0.82631123
159744,1,0.78534496
159745,1,0.65194637
159746,0,0.42207918
159747,0,0.0216589
159748,0,0.12041073
159749,0,0.2107658
159750,1,0.6827317
159751,0,0.008778196
159752,0,0.017117275
159753,1,0.7067544
159754,0,0.4430033
159755,1,0.50238794
159756,0,0.05996401
159757,0,0.36206603
159758,1,0.68182796
159759,0,0.013255376
159760,1,0.9011975
159761,0,0.007114945
159762,0,0.38252068
159763,0,0.087249756
159764,1,0.51844877
159765,1,0.63178766
159766,1,0.6168195
159767,1,0.5382158
159768,1,0.92098737
159769,0,0.4953592
159770,1,0.72777843
159771,0,0.009775176
159772,1,0.657947
159773,0,0.11568113
159774,0,0.20152815
159775,0,0.15986423
159776,0,0.013698134
159777,1,0.56737745
159778,0,0.2078835
159779,1,0.7413679
159780,1,0.6435456
159781,1,0.76766884
159782,0,0.015264038
159783,0,0.06644083
159784,0,0.38583174
159785,0,0.0023847409
159786,1,0.87607855
159787,0,0.44713894
159788,0,0.0052274484
159789,0,0.014081518
159790,0,0.015384767
159791,1,0.7765766
159792,0,0.32657805
159793,1,0.5883854
159794,0,0.30747628
159795,0,0.06892282
159796,0,0.4906553
159797,1,0.79429656
159798,1,0.80917
159799,0,0.0003150189
159800,0,0.0057647624
159801,0,0.02167934
159802,1,0.95445466
159803,1,0.5839612
159804,1,0.5605658
159805,0,0.3919347
159806,1,0.844746
159807,1,0.7375011
159808,0,0.003096644
159809,1,0.6449806
159810,0,0.00036058456
159811,0,0.0022770783
159812,0,0.47450086
159813,1,0.5825587
159814,1,0.87444025
159815,1,0.74558896
159816,1,0.64652157
159817,1,0.70153546
159818,0,0.0008910898
159819,1,0.7305903
159820,0,0.122598894
159821,0,0.007543574
159822,1,0.5227026
159823,0,0.00052972056
159824,1,0.65380025
159825,1,0.6702714
159826,0,0.44462493
159827,0,0.0077171866
159828,0,0.0073499377
159829,0,0.0018122368
159830,0,0.049524397
159831,1,0.5654316
159832,1,0.5460726
159833,0,0.34985033
159834,0,0.016883628
159835,1,0.83623034
159836,0,0.0074592526
159837,0,0.3977039
159838,0,0.023863927
159839,0,0.24598138
159840,1,0.8592536
159841,1,0.7613453
159842,1,0.65437394
159843,1,0.891463
159844,1,0.53991085
159845,0,0.0070943725
159846,1,0.6479052
159847,0,0.4004082
159848,0,0.42389926
159849,1,0.69258535
159850,0,0.00074957317
159851,0,0.40985572
159852,0,0.00449062
159853,0,0.036922053
159854,1,0.9382317
159855,0,0.3142132
159856,0,0.06137686
159857,0,0.42202702
159858,1,0.70934033
159859,0,0.0013819003
159860,0,0.4956626
159861,0,0.0070806677
159862,0,0.00081732945
159863,1,0.7486677
159864,0,0.013578604
159865,0,0.00014319514
159866,1,0.7018169
159867,0,0.40484154
159868,1,0.8128295
159869,1,0.7276416
159870,1,0.76166624
159871,0,0.035917614
159872,1,0.68231225
159873,1,0.6366201
159874,0,0.26952723
159875,0,0.1687098
159876,1,0.72409266
159877,0,0.030520545
159878,1,0.59219456
159879,1,0.72171515
159880,1,0.51109946
159881,0,0.016460508
159882,1,0.86766946
159883,1,0.8295177
159884,1,0.8027191
159885,0,0.4997558
159886,0,0.38684943
159887,1,0.5981377
159888,0,0.4072014
159889,1,0.8052432
159890,1,0.81049365
159891,1,0.9104632
159892,0,0.26016995
159893,0,0.0038710362
159894,1,0.8547937
159895,1,0.621656
159896,1,0.6460474
159897,0,0.386672
159898,1,0.65812474
159899,1,0.8581985
159900,0,0.013407476
159901,1,0.61666167
159902,0,0.2298967
159903,0,0.47428888
159904,0,0.33982396
159905,0,0.006182791
159906,1,0.7942724
159907,1,0.74145174
159908,1,0.7763431
159909,0,0.000107457614
159910,1,0.5078794
159911,0,0.42170915
159912,1,0.56917614
159913,0,0.016452927
159914,0,0.0109633515
159915,0,0.39137283
159916,0,0.0042793583
159917,0,0.005983103
159918,0,0.12086889
159919,0,0.4906542
159920,0,0.21788834
159921,1,0.7913391
159922,0,0.16585356
159923,0,0.22177061
159924,1,0.75517607
159925,1,0.69160193
159926,1,0.8630168
159927,1,0.6213449
159928,1,0.5027415
159929,1,0.76834255
159930,0,0.23401576
159931,0,0.37950224
159932,0,0.0006889842
159933,0,0.2364143
159934,0,0.30238882
159935,0,0.16865996
159936,1,0.5965284
159937,0,0.0117608225
159938,1,0.65106034
159939,1,0.71128553
159940,1,0.7260979
159941,1,0.5134439
159942,1,0.52294797
159943,0,0.10981797
159944,0,0.0026393612
159945,1,0.82282037
159946,1,0.7156573
159947,0,0.0054185363
159948,0,0.23609976
159949,1,0.7209012
159950,1,0.7388039
159951,0,0.30910265
159952,1,0.7400306
159953,0,0.0012070317
159954,1,0.5601529
159955,0,6.136302e-05
159956,1,0.7416189
159957,1,0.83935016
159958,1,0.6349558
159959,0,0.39624617
159960,1,0.7656819
159961,1,0.69326067
159962,0,0.00022446005
159963,1,0.76386106
159964,0,0.015628796
159965,1,0.70330447
159966,1,0.69623256
159967,1,0.72698253
159968,0,0.004800115
159969,1,0.79608434
159970,0,0.01437293
159971,0,0.0005391553
159972,0,0.018352501
159973,1,0.74880034
159974,0,0.3707125
159975,1,0.715327
159976,1,0.5692853
159977,1,0.77563345
159978,0,0.014017255
159979,1,0.60997653
159980,1,0.8321035
159981,1,0.78310984
159982,1,0.6634495
159983,1,0.7872001
159984,0,0.41842338
159985,1,0.8439041
159986,1,0.86606276
159987,0,0.030654209
159988,1,0.7676542
159989,1,0.5904983
159990,0,0.21416251
159991,0,0.00686252
159992,0,0.4176841
159993,0,0.0041055772
159994,0,0.0021715083
159995,0,0.0013021803
159996,0,0.45533827
159997,1,0.8788712
159998,0,0.49082598
159999,1,0.7265489
160000,1,0.7549418
160001,0,0.096621305
160002,0,0.24721716
160003,0,0.010209296
160004,0,0.4639699
160005,0,0.00973178
160006,0,0.2994893
160007,1,0.7761355
160008,0,0.2541004
160009,1,0.5605687
160010,1,0.61175984
160011,0,0.11459902
160012,1,0.52034116
160013,1,0.6512537
160014,0,0.0052222656
160015,0,0.04917456
160016,1,0.7669767
160017,0,0.074688576
160018,1,0.7755309
160019,0,0.0033818025
160020,0,0.034955174
160021,1,0.5480966
160022,1,0.7504815
160023,0,0.010203356
160024,1,0.56828034
160025,0,0.036321647
160026,0,0.005774153
160027,1,0.5402914
160028,0,0.0015619143
160029,1,0.72448784
160030,0,0.2927642
160031,1,0.83734065
160032,0,0.009214319
160033,0,0.025279075
160034,1,0.8078699
160035,1,0.6897527
160036,0,0.004664
160037,0,0.4270756
160038,0,0.48141453
160039,0,0.0074228235
160040,1,0.5862392
160041,0,0.025028095
160042,0,0.34830776
160043,0,0.025229149
160044,0,0.020235907
160045,0,0.016946675
160046,0,0.44420433
160047,0,0.43671504
160048,1,0.60416985
160049,0,0.005809165
160050,1,0.71221817
160051,1,0.8005391
160052,1,0.8041526
160053,0,0.22794868
160054,1,0.6304168
160055,0,0.40236884
160056,0,0.22997889
160057,0,0.0769117
160058,1,0.5095714
160059,1,0.7602031
160060,0,0.29896653
160061,0,0.063063845
160062,1,0.8855526
160063,0,0.023276286
160064,0,0.07348811
160065,0,0.37963182
160066,0,0.4918109
160067,0,0.31249586
160068,1,0.62769586
160069,1,0.6761542
160070,0,0.0009801987
160071,0,0.034892622
160072,1,0.5447615
160073,0,0.011927378
160074,1,0.6903302
160075,1,0.867417
160076,0,0.34551585
160077,0,0.0010455034
160078,1,0.5704853
160079,0,0.036578495
160080,0,0.24674301
160081,0,0.09323813
160082,0,0.11700953
160083,0,0.110736296
160084,0,0.00021998923
160085,0,0.046325598
160086,0,0.02639581
160087,0,0.065721296
160088,0,0.43802854
160089,1,0.7987083
160090,1,0.56268567
160091,1,0.8413191
160092,1,0.58959925
160093,1,0.7985711
160094,0,0.00044853342
160095,1,0.8459909
160096,1,0.59699243
160097,0,0.30280358
160098,1,0.6869751
160099,0,4.5387736e-05
160100,0,0.38403735
160101,0,0.46066704
160102,1,0.6958356
160103,1,0.667273
160104,0,0.21137859
160105,0,0.3026161
160106,0,0.009618837
160107,0,0.21128826
160108,1,0.72177905
160109,1,0.7609873
160110,1,0.76609176
160111,0,0.4374585
160112,0,0.22226259
160113,0,0.054011554
160114,1,0.54950464
160115,0,0.0024654286
160116,0,0.007285156
160117,1,0.81673443
160118,1,0.52970487
160119,0,0.0003346721
160120,0,0.36208013
160121,1,0.6575275
160122,1,0.5168564
160123,0,0.3897366
160124,1,0.8578592
160125,1,0.81847775
160126,0,0.41087154
160127,1,0.5714908
160128,0,0.24542052
160129,1,0.73755324
160130,1,0.58309615
160131,0,0.002669043
160132,0,0.0106504
160133,1,0.8718248
160134,1,0.90945506
160135,1,0.5548876
160136,0,0.0029421034
160137,1,0.697529
160138,1,0.5805062
160139,1,0.8546411
160140,1,0.5094577
160141,1,0.70863724
160142,0,0.001510761
160143,0,0.40569583
160144,0,0.043666597
160145,0,0.0019796377
160146,0,0.003946265
160147,1,0.61384666
160148,1,0.53172094
160149,0,0.28537858
160150,0,0.15214626
160151,0,0.23985709
160152,0,0.05433335
160153,0,0.024097623
160154,1,0.5701503
160155,1,0.6603679
160156,1,0.8164957
160157,1,0.53284425
160158,0,0.17525403
160159,1,0.7182955
160160,0,0.014182236
160161,1,0.8238631
160162,0,0.19422072
160163,1,0.8178212
160164,1,0.8224313
160165,1,0.8581692
160166,1,0.72292596
160167,1,0.7031177
160168,0,0.18565014
160169,0,0.32292208
160170,1,0.86967266
160171,0,0.0003515227
160172,0,0.46801323
160173,1,0.5006416
160174,1,0.6200616
160175,0,0.0034690795
160176,0,0.13154663
160177,0,0.4162157
160178,1,0.5231136
160179,0,0.0013531246
160180,1,0.74658036
160181,1,0.5375698
160182,1,0.79983354
160183,0,0.0005151542
160184,1,0.7729264
160185,0,0.004869445
160186,0,0.28364253
160187,0,0.00063110876
160188,1,0.84966826
160189,1,0.74212706
160190,0,0.037952047
160191,1,0.70639646
160192,1,0.66325456
160193,0,0.01463641
160194,0,0.27779576
160195,0,0.44752213
160196,0,0.23211984
160197,1,0.5690296
160198,1,0.53927875
160199,0,0.022922572
160200,0,0.0024261812
160201,0,0.007468617
160202,1,0.6841684
160203,1,0.703975
160204,0,0.19867066
160205,1,0.8779525
160206,1,0.67416555
160207,0,0.02612591
160208,0,0.3879104
160209,0,0.48199522
160210,0,0.012883885
160211,0,0.3643399
160212,0,0.28085175
160213,1,0.81490636
160214,0,0.23249596
160215,0,0.18339574
160216,0,0.078733034
160217,1,0.6993369
160218,0,0.15840733
160219,1,0.79157186
160220,1,0.8079073
160221,0,0.46551323
160222,0,0.4201614
160223,0,0.45074043
160224,1,0.8269504
160225,0,0.25052375
160226,0,0.032371134
160227,0,0.4800227
160228,1,0.8032502
160229,1,0.51506877
160230,1,0.74835205
160231,0,0.016317036
160232,1,0.8755566
160233,0,0.0105199795
160234,0,0.012063795
160235,1,0.7234729
160236,1,0.53228635
160237,0,0.49316
160238,0,0.3455642
160239,0,0.0006766614
160240,1,0.8393691
160241,0,0.0306837
160242,0,0.37590876
160243,1,0.50413644
160244,0,0.0031012075
160245,1,0.64930797
160246,1,0.798124
160247,1,0.5336117
160248,0,0.15869585
160249,1,0.7757773
160250,1,0.80043924
160251,1,0.50284576
160252,0,0.0061210613
160253,0,0.21329372
160254,1,0.769392
160255,1,0.71854484
160256,0,0.40850914
160257,1,0.8752919
160258,0,0.00038168326
160259,1,0.74242634
160260,1,0.60467577
160261,0,0.06800525
160262,0,0.0063496623
160263,0,0.05138991
160264,0,0.45408472
160265,0,0.47463596
160266,1,0.8683111
160267,0,0.4129754
160268,1,0.5322808
160269,0,0.0028637142
160270,0,0.005104914
160271,1,0.5311947
160272,1,0.83892775
160273,0,0.0021347152
160274,0,0.057692315
160275,1,0.7384982
160276,1,0.6692602
160277,0,0.0020882168
160278,1,0.616497
160279,1,0.6140153
160280,0,0.059885554
160281,1,0.65166444
160282,1,0.67378896
160283,1,0.510571
160284,1,0.61109704
160285,1,0.84976166
160286,1,0.6204525
160287,1,0.6268763
160288,0,0.18087775
160289,0,0.47656497
160290,1,0.8128576
160291,0,0.08662714
160292,0,0.0013207229
160293,1,0.55528593
160294,0,0.066931374
160295,1,0.7908187
160296,1,0.7576337
160297,1,0.78985757
160298,0,0.0022166132
160299,0,0.45122752
160300,1,0.6063705
160301,1,0.5423832
160302,0,0.4160198
160303,1,0.5019893
160304,1,0.74837565
160305,1,0.6830507
160306,1,0.69877404
160307,0,0.33663303
160308,0,0.03353102
160309,0,0.0070626684
160310,0,0.00078161893
160311,1,0.79743284
160312,0,0.39604092
160313,0,0.35281482
160314,1,0.6529497
160315,1,0.8844461
160316,1,0.65174496
160317,1,0.6888083
160318,1,0.8847725
160319,0,0.45677352
160320,0,0.0013917802
160321,1,0.78797936
160322,1,0.62927955
160323,0,0.47820276
160324,1,0.62280107
160325,1,0.90203655
160326,1,0.5884503
160327,0,0.00092554366
160328,0,0.01752744
160329,1,0.7896379
160330,0,0.0043656537
160331,1,0.84738135
160332,1,0.8304305
160333,0,0.10957514
160334,1,0.73191345
160335,0,0.4293514
160336,1,0.736255
160337,1,0.58328795
160338,0,0.37178594
160339,0,0.0025879387
160340,1,0.7554962
160341,1,0.5098549
160342,0,0.4145087
160343,1,0.7424059
160344,1,0.74919957
160345,1,0.5855188
160346,0,0.49526277
160347,1,0.90660924
160348,1,0.88466674
160349,1,0.5145173
160350,1,0.7570466
160351,1,0.7926618
160352,0,0.34456426
160353,0,0.00855108
160354,0,0.008407084
160355,0,0.2003602
160356,0,0.17979783
160357,0,0.05807412
160358,0,0.2826308
160359,0,0.0100935595
160360,0,0.008918807
160361,0,0.04921212
160362,0,0.0009519419
160363,0,0.018945917
160364,0,0.32868126
160365,0,0.3659287
160366,0,0.0023987826
160367,1,0.8140653
160368,0,0.1293371
160369,0,0.009505347
160370,1,0.8244674
160371,1,0.8085617
160372,0,0.0013341658
160373,1,0.70682603
160374,1,0.70526445
160375,0,0.16178468
160376,1,0.5690143
160377,0,0.048154473
160378,1,0.8033215
160379,1,0.54552144
160380,0,0.008972119
160381,0,0.45499912
160382,1,0.67027754
160383,0,0.123522684
160384,1,0.5171903
160385,0,0.0052939793
160386,0,0.0411002
160387,0,0.00301262
160388,1,0.5246811
160389,1,0.6185063
160390,1,0.65800035
160391,1,0.6027588
160392,1,0.6791847
160393,0,0.12795421
160394,0,0.0015242733
160395,1,0.6281795
160396,1,0.74059093
160397,0,0.3006973
160398,1,0.882597
160399,1,0.53096193
160400,1,0.8216561
160401,0,0.0005954116
160402,1,0.78680164
160403,0,0.03292623
160404,1,0.5798596
160405,0,0.36958575
160406,1,0.746511
160407,0,0.003068394
160408,1,0.65768886
160409,0,0.0007547566
160410,0,0.0043892325
160411,1,0.79999244
160412,0,0.4524381
160413,1,0.8447722
160414,0,0.014408756
160415,0,0.0016150145
160416,0,0.017686162
160417,0,0.0023878952
160418,0,0.11324297
160419,0,0.20684917
160420,0,0.10845879
160421,1,0.5005771
160422,0,0.4680362
160423,0,0.0028668067
160424,1,0.6739826
160425,0,0.007437875
160426,0,0.3077192
160427,0,0.0025896304
160428,1,0.54893357
160429,1,0.83247733
160430,1,0.80767214
160431,1,0.8894725
160432,0,0.0007108932
160433,1,0.70091575
160434,1,0.5155429
160435,1,0.8063783
160436,1,0.6714367
160437,0,0.009687805
160438,1,0.85256326
160439,1,0.60318565
160440,0,7.4156385e-05
160441,0,0.05631343
160442,1,0.7013038
160443,1,0.76196426
160444,0,0.0053784195
160445,1,0.6898314
160446,1,0.7372409
160447,1,0.7825818
160448,1,0.6749885
160449,0,0.013176023
160450,0,0.14786756
160451,1,0.8368216
160452,1,0.74481905
160453,0,0.0014958348
160454,0,0.39435315
160455,0,0.014645843
160456,1,0.71526676
160457,1,0.6206765
160458,0,0.43943706
160459,0,0.49941942
160460,1,0.5038462
160461,1,0.514057
160462,1,0.58082205
160463,1,0.7933522
160464,1,0.6978335
160465,1,0.5839207
160466,0,0.104139656
160467,0,0.44907856
160468,1,0.6628955
160469,1,0.8280718
160470,1,0.67498225
160471,1,0.82016456
160472,0,0.0041793934
160473,1,0.79271215
160474,1,0.5513706
160475,0,0.046721052
160476,0,0.022832783
160477,0,0.13041894
160478,1,0.826308
160479,1,0.88131124
160480,0,0.3760835
160481,0,0.4668421
160482,0,0.0072158696
160483,0,0.0008686155
160484,0,0.45951414
160485,0,0.00033070557
160486,0,0.0038981764
160487,0,0.20857777
160488,0,0.00065689103
160489,0,0.49716696
160490,0,0.019351238
160491,1,0.7305026
160492,1,0.7100581
160493,1,0.6340316
160494,0,0.31509826
160495,0,0.47537887
160496,1,0.63909423
160497,0,0.21776895
160498,0,0.010217356
160499,1,0.7692414
160500,1,0.8576675
160501,0,0.00054693135
160502,1,0.5411908
160503,1,0.773273
160504,0,0.010217095
160505,1,0.8789955
160506,1,0.7007978
160507,0,0.42548513
160508,1,0.82049394
160509,1,0.96378773
160510,0,0.3424247
160511,1,0.6882903
160512,0,0.0072109695
160513,0,0.4451198
160514,1,0.60370916
